,participant,target,word_count
0,FA1,T,6877
1,FA1,A,1052
2,FA1,C,12190
3,FC1,T,369
4,FC1,A,4537
5,FC1,C,132
6,CHI,T,0
7,CHI,A,32
8,CHI,C,3
9,FAE,T,43
10,FAE,A,393
11,FAE,C,120
