,participant,word_count,start,end,duration
0,FA1,2,24039,25719,1680
1,FA1,2,27329,29409,2080
2,CHI,0,28829,29329,500
3,FA1,1,29764,30304,540
4,FA1,1,31629,32179,550
5,CHI,0,33276,33746,470
6,FA1,1,34171,34791,620
7,FA1,2,38406,38806,400
8,FA1,6,40806,41656,850
9,FA1,7,42511,44151,1640
10,FA1,1,45581,46441,860
11,CHI,0,46444,47464,1020
12,FA1,6,47626,49226,1600
13,CHI,0,49904,50324,420
14,FA1,3,50669,52759,2090
15,CHI,0,52359,52749,390
16,FA1,1,53129,53489,360
17,CHI,0,54654,55034,380
18,FA1,1,55174,55764,590
19,CHI,1,56159,56479,320
20,FA1,1,56524,57324,800
21,CHI,0,57284,57714,430
22,FA1,1,57924,58834,910
23,CHI,0,59284,59814,530
24,FA1,5,60621,62191,1570
25,CHI,0,61529,61949,420
26,FA1,1,62254,62624,370
27,CHI,0,63634,64094,460
28,FA1,1,64209,64809,600
29,CHI,0,64974,65484,510
30,FA1,1,65554,66304,750
31,CHI,0,68244,68634,390
32,FA1,1,68804,69394,590
33,CHI,0,69664,70094,430
34,FA1,1,70404,71044,640
35,CHI,0,72499,73049,550
36,FA1,1,73189,73829,640
37,CHI,0,74224,74614,390
38,FA1,1,74774,75454,680
39,CHI,0,75589,76769,1180
40,CHI,0,77194,78644,1450
41,FA1,5,79271,79751,480
42,CHI,0,80919,82659,1740
43,FA1,1,82734,83254,520
44,CHI,0,83299,86329,3030
45,FA1,1,84219,86149,1930
46,FA1,19,87076,91116,4040
47,CHI,0,88214,91134,2920
48,CHI,0,91529,92699,1170
49,FA1,1,92779,93349,570
50,CHI,0,93819,98149,4330
51,FA1,7,95009,97139,2130
52,FA1,1,97391,97901,510
53,FA1,3,98616,99766,1150
54,FA1,1,100486,100916,430
55,FA1,2,103801,104151,350
56,FA1,1,107471,107671,200
57,FA1,1,108591,108901,310
58,FA1,5,109526,110866,1340
59,CHI,0,111464,111864,400
60,FA1,5,112026,113586,1560
61,CHI,0,114109,114579,470
62,FA1,5,114609,116779,2170
63,CHI,0,117269,119749,2480
64,FA1,1,118046,118656,610
65,FA1,2,119804,121164,1360
66,CHI,0,122259,122419,160
67,FA1,8,123074,125054,1980
68,FA1,8,127321,129541,2220
69,FA1,3,133004,134764,1760
70,FA1,4,136969,141969,5000
71,FA1,4,144804,146964,2160
72,FA1,5,148861,150561,1700
73,FA1,5,152001,154541,2540
74,FA1,3,158799,160119,1320
75,FA1,4,163706,165526,1820
76,CHI,0,163706,165526,1820
77,FA1,6,166626,168446,1820
78,FA1,1,170051,170581,530
79,FA1,8,174316,176606,2290
80,FA1,3,186421,187091,670
81,CHI,0,186984,187884,900
82,FA1,1,187991,188341,350
83,CHI,0,188544,188874,330
84,CHI,1,190869,191479,610
85,CHI,0,192689,197219,4530
86,FA1,5,194376,195596,1220
87,FA1,1,197501,197681,180
88,FA1,1,199406,199516,110
89,FA1,8,203604,206424,2820
90,FA1,2,206786,207546,760
91,CHI,0,208716,210366,1650
92,FA1,2,208726,209116,390
93,FA1,1,211779,213259,1480
94,CHI,0,212844,213764,920
95,FA1,1,214896,215086,190
96,CHI,0,218494,221224,2730
97,FA1,7,219706,221076,1370
98,FA1,1,221699,222639,940
99,FA1,3,223124,224104,980
100,CHI,0,223464,224204,740
101,CHI,0,224519,225179,660
102,FA1,4,224551,225341,790
103,FA1,3,225874,228204,2330
104,FA1,5,229004,230324,1320
105,FA1,4,230539,231439,900
106,CHI,0,231714,232264,550
107,FA1,7,232814,235194,2380
108,CHI,0,234109,234629,520
109,FA1,7,236111,237631,1520
110,CHI,0,236484,237894,1410
111,CHI,0,238691,239211,520
112,FA1,6,240131,241061,930
113,CHI,0,241364,243014,1650
114,FA1,3,243096,244346,1250
115,CHI,0,244674,245914,1240
116,FA1,1,245961,246781,820
117,FA1,1,248874,249714,840
118,CHI,0,255616,256116,500
119,FA1,4,256596,257266,670
120,FA1,1,257591,257781,190
121,CHI,0,258126,258616,490
122,FA1,6,258981,260421,1440
123,FA1,4,264971,265711,740
124,CHI,0,266241,267031,790
125,FA1,7,267181,268101,920
126,FA1,7,268601,269311,710
127,CHI,0,271176,271506,330
128,FA1,8,271694,274504,2810
129,FA1,1,275891,277141,1250
130,CHI,0,277876,278106,230
131,FA1,1,278691,278991,300
132,CHI,0,280691,281011,320
133,FA1,6,281361,283771,2410
134,FA1,2,284986,285826,840
135,CHI,0,287554,288344,790
136,CHI,0,289121,289451,330
137,FA1,1,289846,291126,1280
138,CHI,0,292179,293459,1280
139,CHI,0,294521,295641,1120
140,FA1,4,296366,297356,990
141,CHI,0,297029,298049,1020
142,FA1,4,298194,299094,900
143,CHI,0,298921,299571,650
144,FA1,5,299796,300596,800
145,CHI,0,302086,307966,5880
146,FA1,2,302976,304096,1120
147,FA1,9,305116,307986,2870
148,CHI,0,309061,310651,1590
149,FA1,2,311386,311726,340
150,CHI,0,313604,315784,2180
151,CHI,0,316069,317789,1720
152,FA1,2,317824,318664,840
153,CHI,0,319139,320829,1690
154,FA1,9,320989,323719,2730
155,FA1,9,325701,327151,1450
156,FA1,8,328314,330454,2140
157,CHI,0,329906,330336,430
158,FA1,3,332081,333061,980
159,FA1,4,334731,335501,770
160,FA1,1,337376,337596,220
161,FA1,10,339646,341366,1720
162,CHI,0,341186,346916,5730
163,FA1,10,342731,344971,2240
164,FA1,4,346581,347781,1200
165,FA1,7,348765,355815,7050
166,CHI,0,355550,356400,850
167,FA1,1,357435,357915,480
168,FA1,5,359115,360405,1290
169,CHI,0,361175,362015,840
170,FA1,5,363465,364415,950
171,CHI,0,365220,365880,660
172,FA1,1,366220,367480,1260
173,CHI,0,368020,368350,330
174,FA1,0,370345,371145,800
175,CHI,0,371595,371865,270
176,CHI,0,373660,374150,490
177,CHI,0,374985,375405,420
178,FA1,7,375645,377105,1460
179,FA1,5,378385,379385,1000
180,CHI,1,383805,384465,660
181,FA1,2,384975,385525,550
182,FA1,2,386870,387590,720
183,FA1,6,390445,392175,1730
184,FA1,2,392880,393310,430
185,FA1,2,395160,395490,330
186,CHI,0,398594,398994,400
187,FA1,1,399745,400665,920
188,FA1,4,401655,402485,830
189,FA1,1,403000,403450,450
190,FA1,6,404515,405705,1190
191,FA1,7,406210,407900,1690
192,CHI,0,407051,408001,950
193,FA1,4,409605,410745,1140
194,CHI,0,414035,414485,450
195,FA1,4,415410,416240,830
196,CHI,0,418295,419195,900
197,FA1,4,420565,421305,740
198,FA1,2,424665,425035,370
199,FA1,4,425940,426910,970
200,FA1,6,429615,431295,1680
201,CHI,0,434145,434755,610
202,FA1,1,435830,436360,530
203,FA1,1,437715,438185,470
204,CHI,0,439004,439914,910
205,FA1,1,439885,440265,380
206,FA1,6,441574,443184,1610
207,FA1,5,444544,446764,2220
208,CHI,0,446885,447705,820
209,FA1,1,448225,448855,630
210,CHI,0,449495,450115,620
211,FA1,8,450464,452984,2520
212,CHI,0,456769,457819,1050
213,FA1,3,457830,458610,780
214,CHI,0,459309,459829,520
215,CHI,0,460074,461114,1040
216,FA1,1,461339,461689,350
217,CHI,0,461949,463689,1740
218,CHI,0,464014,465204,1190
219,CHI,0,465485,466185,700
220,FA1,2,466484,467564,1080
221,CHI,0,467699,468299,600
222,CHI,0,468754,471644,2890
223,FA1,11,468790,471410,2620
224,FA1,3,472020,473120,1100
225,CHI,0,473600,474110,510
226,FA1,6,475605,476725,1120
227,CHI,0,476339,479919,3580
228,FA1,7,481260,482800,1540
229,CHI,0,483840,489160,5320
230,FA1,15,485764,489204,3440
231,CHI,0,489969,491729,1760
232,FA1,6,492724,493774,1050
233,FA1,6,493814,494834,1020
234,CHI,0,494115,495755,1640
235,FA1,3,495755,496495,740
236,FA1,8,496684,498844,2160
237,CHI,0,499159,511299,12140
238,FA1,6,500345,502385,2040
239,FA1,6,503834,507064,3230
240,FA1,2,509090,510940,1850
241,FA1,1,512004,512484,480
242,CHI,0,513019,513899,880
243,CHI,0,514334,515764,1430
244,CHI,0,516834,517484,650
245,FA1,1,520770,521150,380
246,CHI,0,521639,530729,9090
247,FA1,8,522460,524150,1690
248,FA1,7,524805,526755,1950
249,FA1,9,527310,529760,2450
250,FA1,2,533125,533715,590
251,CHI,0,535374,536804,1430
252,FA1,1,536205,536745,540
253,FA1,1,541369,541729,360
254,FA1,4,542405,543345,940
255,FA1,1,544105,544345,240
256,CHI,0,545195,548115,2920
257,FA1,3,545895,546815,920
258,FA1,4,547815,549805,1990
259,CHI,0,549469,550429,960
260,FA1,1,550474,551504,1030
261,CHI,0,551594,556124,4530
262,FA1,3,553994,555274,1280
263,FA1,1,556429,556969,540
264,FA1,3,557765,558395,630
265,FA1,3,560430,561280,850
266,FA1,12,562235,564245,2010
267,FA1,4,565020,566230,1210
268,CHI,1,567425,573955,6530
269,CHI,0,575950,578400,2450
270,FA1,11,577545,581605,4060
271,CHI,0,579194,580744,1550
272,CHI,1,581645,582425,780
273,FA1,1,582845,583195,350
274,FA1,9,583510,585500,1990
275,FA1,5,590295,591955,1660
276,FA1,5,592680,593640,960
277,FA1,6,593690,595560,1870
278,FA1,5,597199,599029,1830
279,FA1,3,599630,600490,860
280,CHI,0,599839,603869,4030
281,FA1,11,602260,604530,2270
282,CHI,0,603869,611219,7350
283,FA1,6,606910,608100,1190
284,FA1,3,611595,612635,1040
285,CHI,0,613175,615985,2810
286,CHI,0,616449,619509,3060
287,FA1,7,617020,619090,2070
288,FA1,0,623624,624534,910
289,CHI,0,624839,625519,680
290,FA1,4,625710,626560,850
291,FA1,5,627364,628684,1320
292,CHI,0,628829,629609,780
293,FA1,5,630069,631709,1640
294,FA1,4,635105,635825,720
295,CHI,1,637169,637729,560
296,FA1,1,637959,638509,550
297,CHI,1,639145,639655,510
298,FA1,1,639675,640065,390
299,FA1,4,643300,644650,1350
300,CHI,0,644604,645724,1120
301,FA1,1,649590,650210,620
302,CHI,0,657465,659485,2020
303,FA1,5,659945,660725,780
304,FC1,3,660975,661895,920
305,FA1,10,661965,663515,1550
306,FC1,1,663535,663915,380
307,FA1,8,664370,666150,1780
308,FC1,1,666670,667080,410
309,FAE,10,668600,670700,2100
310,EE1,0,671949,672529,580
311,FA1,12,672570,675030,2460
312,FA1,9,675780,677350,1570
313,FC1,3,678315,678785,470
314,FC1,5,679770,680940,1170
315,FA1,11,681495,683745,2250
316,FC1,0,685864,687924,2060
317,CHI,0,687869,689269,1400
318,FA1,6,689465,691015,1550
319,FC1,0,695424,696954,1530
320,FA1,15,699510,702760,3250
321,FA1,4,704415,706435,2020
322,FA1,1,710375,711195,820
323,FC1,4,713996,715126,1130
324,FC1,3,715381,717631,2250
325,FC1,2,721319,722729,1410
326,FA1,7,723335,724485,1150
327,FA1,5,725580,727050,1470
328,FA1,17,727875,731975,4100
329,CHI,0,733775,736905,3130
330,FA1,6,734020,735880,1860
331,FA1,7,737640,739150,1510
332,FA1,6,739485,740285,800
333,FA1,1,742505,742725,220
334,CHI,0,743235,744285,1050
335,FAE,0,743939,746089,2150
336,FA1,1,746815,747655,840
337,FAE,0,747934,750434,2500
338,CHI,0,748000,749820,1820
339,CHI,0,750429,759829,9400
340,FA1,11,750840,753520,2680
341,FA1,6,754120,755800,1680
342,FC1,2,755854,757314,1460
343,FAE,4,760125,761655,1530
344,FC1,4,761660,762730,1070
345,FA1,3,762900,763830,930
346,FAE,10,766580,768580,2000
347,FA1,8,769690,772710,3020
348,FA1,23,773589,782039,8450
349,FA1,21,782765,787825,5060
350,FAE,2,788489,789189,700
351,FAE,13,790175,793645,3470
352,FA1,5,794465,797405,2940
353,FA1,7,798525,800985,2460
354,FAE,5,801594,804044,2450
355,FA1,8,804050,806360,2310
356,FA1,11,806935,809075,2140
357,FA1,11,809775,812635,2860
358,FA1,14,813045,816445,3400
359,FAE,6,817155,818865,1710
360,FAE,12,818995,821425,2430
361,FAE,10,821760,824010,2250
362,FA1,8,824475,826495,2020
363,FA1,1,827225,827475,250
364,FC1,8,827940,829690,1750
365,FA1,10,830135,832415,2280
366,FAE,2,832415,833015,600
367,FA1,14,833035,836475,3440
368,FAE,15,837055,839665,2610
369,FA1,30,840200,847910,7710
370,FA1,11,848235,850575,2340
371,FAE,0,850645,852515,1870
372,FA1,11,852770,855080,2310
373,FAE,11,855874,859514,3640
374,CHI,0,856245,856575,330
375,FC1,15,858470,862200,3730
376,FA1,9,861774,864124,2350
377,FAE,4,864555,865705,1150
378,FC1,5,865060,865740,680
379,FA1,11,865680,867530,1850
380,FAE,3,867655,868705,1050
381,FC1,11,868740,873070,4330
382,FA1,22,873425,878235,4810
383,FC1,5,878800,880530,1730
384,FA1,5,880635,881875,1240
385,FAE,17,882445,886445,4000
386,FAE,1,887985,888355,370
387,FC1,12,888649,893409,4760
388,FA1,21,893455,898115,4660
389,FC1,12,898360,903480,5120
390,CHI,0,901099,901569,470
391,FA1,11,904080,906800,2720
392,FAE,13,907490,910450,2960
393,CHI,0,912340,912770,430
394,FAE,9,913095,915455,2360
395,FAE,5,916044,918214,2170
396,FA1,1,916595,917595,1000
397,FAE,1,918214,919915,1701
398,FC1,1,920309,921669,1360
399,FAE,7,922100,925970,3870
400,CHI,0,923105,923575,470
401,FA1,1,927790,928810,1020
402,FAE,0,928570,929900,1330
403,FAE,4,930045,931935,1890
404,FAE,12,933260,935690,2430
405,FA1,1,936155,936435,280
406,FAE,10,936945,939525,2580
407,FA1,1,940105,940595,490
408,FAE,29,941380,952010,10630
409,FA1,2,952635,953725,1090
410,FAE,28,954076,961936,7860
411,FA1,32,962181,971071,8890
412,FAE,7,971600,973100,1500
413,FA1,3,973116,975276,2160
414,FAE,13,974675,978005,3330
415,FA1,10,978700,981110,2410
416,FAE,8,981330,982830,1500
417,FA1,1,982840,983260,420
418,FA1,2,983810,984800,990
419,FAE,6,985525,986625,1100
420,FA1,1,986715,987075,360
421,FA1,1,989385,990165,780
422,FAE,5,990815,992115,1300
423,FA1,1,992305,992445,140
424,CHI,0,995345,996145,800
425,FA1,6,997025,997985,960
426,CHI,0,998335,999135,800
427,FA1,2,999295,999795,500
428,FC1,2,1000405,1001445,1040
429,FA1,3,1001425,1002545,1120
430,FC1,7,1003085,1005605,2520
431,FA1,5,1005765,1007085,1320
432,CHI,0,1007626,1007916,290
433,EE1,4,1008675,1009895,1220
434,EE1,0,1010505,1011525,1020
435,EE1,1,1012115,1012695,580
436,EE1,5,1013115,1014515,1400
437,EE1,6,1014955,1017265,2310
438,EE1,5,1017820,1020810,2990
439,EE1,0,1021005,1022295,1290
440,EE1,3,1022990,1024710,1720
441,EE1,2,1026700,1030830,4130
442,EE1,5,1033695,1036515,2820
443,EE1,1,1036725,1039985,3260
444,EE1,2,1040095,1040695,600
445,EE1,2,1041795,1043115,1320
446,CHI,0,1043685,1043995,310
447,EE1,4,1044045,1047635,3590
448,FA1,1,1046320,1046980,660
449,FA1,14,1048570,1051360,2790
450,EE1,0,1051420,1056520,5100
451,CHI,0,1051745,1052185,440
452,FA1,5,1052665,1054255,1590
453,CHI,0,1055595,1055745,150
454,EE1,1,1056540,1057990,1450
455,CHI,0,1057590,1057910,320
456,EE1,4,1058595,1059805,1210
457,CHI,0,1058991,1059151,160
458,EE1,5,1060210,1062400,2190
459,CHI,0,1060370,1060680,310
460,EE1,6,1062535,1065515,2980
461,EE1,6,1065675,1068565,2890
462,CHI,0,1066005,1066225,220
463,CHI,0,1067301,1067421,120
464,CHI,0,1068951,1069131,180
465,EE1,4,1069125,1071885,2760
466,CHI,0,1070770,1071070,300
467,EE1,2,1073380,1075490,2110
468,FC1,6,1074365,1077275,2910
469,EE1,0,1075490,1097070,21580
470,FA1,1,1077340,1077950,610
471,FC1,11,1078886,1086236,7350
472,FA1,2,1079615,1081065,1450
473,FA1,3,1085695,1086495,800
474,FA1,24,1092205,1097365,5160
475,EE1,0,1097070,1114920,17850
476,FA1,15,1097605,1099825,2220
477,FA1,17,1102525,1107285,4760
478,CHI,0,1111045,1111355,310
479,EE1,3,1114925,1116435,1510
480,EE1,0,1116435,1128445,12010
481,CHI,0,1124475,1124815,340
482,EE1,0,1128450,1134715,6265
483,EE1,0,1134715,1149045,14330
484,CHI,0,1139475,1139705,230
485,CHI,0,1146680,1147000,320
486,FC1,11,1149040,1152280,3240
487,EE1,0,1149055,1163175,14120
488,FA1,10,1152280,1154670,2390
489,FA1,5,1155305,1155845,540
490,CHI,0,1156285,1157465,1180
491,FA1,1,1157755,1158375,620
492,FA1,3,1158835,1159635,800
493,FC1,3,1159665,1160735,1070
494,FC1,0,1161580,1162460,880
495,FA1,7,1162510,1165780,3270
496,EE1,0,1163189,1177710,14521
497,FC1,5,1168125,1170195,2070
498,FA1,15,1171475,1175795,4320
499,EE1,0,1177710,1184860,7150
500,FC1,1,1177845,1178125,280
501,FA1,4,1178615,1180415,1800
502,EE1,9,1184870,1187830,2960
503,FA1,5,1187555,1189085,1530
504,EE1,0,1187830,1191070,3240
505,EE1,3,1191070,1192800,1730
506,FC1,3,1192210,1193770,1560
507,EE1,0,1192820,1199500,6680
508,FA1,18,1194350,1199490,5140
509,EE1,7,1199511,1202021,2510
510,EE1,5,1202066,1204400,2334
511,FA1,7,1203540,1205130,1590
512,EE1,0,1204400,1231820,27420
513,FC1,5,1206095,1208845,2750
514,CHI,0,1209810,1210140,330
515,FA1,2,1210295,1211535,1240
516,FC1,8,1212185,1217455,5270
517,FA1,7,1217850,1220120,2270
518,FC1,1,1220615,1221235,620
519,CHI,0,1221995,1222415,420
520,CHI,0,1224975,1225365,390
521,FA1,7,1227080,1228880,1800
522,EE1,0,1231840,1246390,14550
523,EE1,0,1246399,1265010,18611
524,FA1,8,1248084,1251814,3730
525,FA1,7,1255210,1257400,2190
526,FA1,8,1258715,1260125,1410
527,EE1,0,1265010,1288000,22990
528,FC1,6,1267830,1269620,1790
529,EE1,0,1288025,1307995,19970
530,FA1,6,1304570,1306010,1440
531,CHI,0,1306034,1306954,920
532,FA1,2,1306920,1307850,930
533,EE1,0,1308000,1335000,27000
534,FA1,1,1308905,1309375,470
535,CHI,0,1316316,1317506,1190
536,FA1,9,1322140,1325420,3280
537,FA1,6,1328440,1329500,1060
538,FC1,8,1329980,1334390,4410
539,EE1,0,1335000,1343100,8100
540,FA1,11,1335354,1338954,3600
541,EE1,4,1343105,1345145,2040
542,FC1,1,1344470,1345110,640
543,EE1,0,1345169,1353458,8289
544,FC1,8,1346990,1350540,3550
545,FA1,6,1350684,1353424,2740
546,EE1,0,1353458,1367708,14250
547,CHI,0,1365125,1365285,160
548,EE1,5,1367708,1369320,1612
549,EE1,7,1369975,1371245,1270
550,EE1,7,1372540,1375480,2940
551,EE1,0,1375503,1385423,9920
552,FC1,5,1376895,1378705,1810
553,FA1,20,1379430,1383450,4020
554,FC1,0,1384834,1385544,710
555,EE1,0,1385443,1426213,40770
556,FC1,9,1386764,1391604,4840
557,FA1,1,1392264,1393744,1480
558,FC1,0,1394719,1397859,3140
559,FA1,3,1398180,1400420,2240
560,FC1,6,1399894,1402664,2770
561,FA1,10,1402710,1406220,3510
562,FC1,11,1402710,1406220,3510
563,FA1,13,1406515,1410415,3900
564,FA1,16,1410495,1413835,3340
565,FA1,11,1416035,1419025,2990
566,FC1,2,1420784,1421984,1200
567,FC1,2,1424115,1424905,790
568,FC1,2,1425499,1426159,660
569,FA1,4,1426195,1427515,1320
570,EE1,0,1426221,1430991,4770
571,EE1,2,1431001,1432401,1400
572,EE1,0,1432406,1440016,7610
573,FA1,6,1439620,1441130,1510
574,EE1,0,1440029,1449419,9390
575,FC1,1,1442150,1442800,650
576,FA1,1,1443195,1444025,830
577,FC1,4,1443515,1444485,970
578,FA1,11,1444790,1448250,3460
579,EE1,4,1449419,1451266,1847
580,FC1,1,1449695,1450705,1010
581,EE1,6,1451441,1453601,2160
582,EE1,0,1453601,1456031,2430
583,EE1,0,1456031,1460081,4050
584,CHI,0,1458071,1458611,540
585,CHI,0,1459631,1459871,240
586,FA1,1,1461270,1462280,1010
587,FA1,11,1463625,1467565,3940
588,FC1,2,1469065,1469885,820
589,FA1,2,1470495,1471795,1300
590,FA1,1,1475745,1476485,740
591,FA1,1,1491565,1491735,170
592,EE1,0,1495540,1520000,24460
593,FC1,4,1495550,1497120,1570
594,FC1,3,1497540,1498730,1190
595,FA1,6,1500075,1501865,1790
596,CHI,0,1506820,1507180,360
597,EE1,0,1520000,1555010,35010
598,FA1,1,1520240,1521200,960
599,EE1,0,1555015,1580000,24985
600,CHI,0,1570765,1571065,300
601,EE1,0,1580015,1598565,18550
602,CHI,0,1580445,1581205,760
603,FA1,23,1581665,1589145,7480
604,FC1,1,1591555,1592055,500
605,FA1,8,1594195,1595885,1690
606,FC1,1,1596235,1596705,470
607,FA1,5,1596920,1598830,1910
608,EE1,0,1598565,1616275,17710
609,FC1,10,1603690,1608540,4850
610,FA1,12,1608845,1612975,4130
611,EE1,0,1616275,1654985,38710
612,CHI,0,1616280,1616710,430
613,FC1,1,1617220,1617720,500
614,FC1,9,1620935,1624395,3460
615,FA1,9,1625055,1628255,3200
616,FC1,4,1635000,1637780,2780
617,FC1,0,1640470,1642200,1730
618,FC1,0,1642465,1646265,3800
619,CHI,0,1647300,1647720,420
620,CHI,0,1648840,1649020,180
621,EE1,0,1655005,1675005,20000
622,EE1,0,1675015,1691305,16290
623,FA1,4,1677850,1678830,980
624,FC1,1,1678830,1679180,350
625,FA1,1,1679345,1679735,390
626,FC1,3,1690195,1691295,1100
627,EE1,0,1691620,1719980,28360
628,FA1,6,1692000,1693490,1490
629,CHI,0,1704130,1704320,190
630,CHI,0,1719870,1720110,240
631,EE1,0,1720000,1750010,30010
632,CHI,0,1721855,1722105,250
633,CHI,0,1724490,1724830,340
634,FA1,8,1746730,1749660,2930
635,EE1,0,1750020,1770020,20000
636,FC1,1,1752505,1753185,680
637,FA1,3,1753735,1754595,860
638,FC1,5,1756795,1757995,1200
639,FA1,4,1759165,1759835,670
640,FC1,0,1760315,1761275,960
641,FA1,4,1762025,1762615,590
642,FC1,0,1763005,1763355,350
643,FA1,12,1763470,1765900,2430
644,FA1,6,1768490,1769760,1270
645,CHI,0,1769100,1769960,860
646,FA1,1,1770115,1770525,410
647,CHI,0,1771220,1771800,580
648,FC1,6,1787065,1788505,1440
649,FA1,1,1788755,1789405,650
650,FA1,6,1790320,1792000,1680
651,FC1,10,1791580,1794910,3330
652,FA1,3,1795095,1796065,970
653,FA1,1,1796640,1796790,150
654,FA1,5,1799010,1800380,1370
655,FA1,4,1802255,1803725,1470
656,FA1,5,1805200,1806330,1130
657,FC1,3,1807575,1809015,1440
658,FA1,7,1809165,1810835,1670
659,FA1,15,1815690,1818390,2700
660,FC1,2,1819555,1819895,340
661,FA1,7,1820265,1821445,1180
662,FC1,1,1825090,1825810,720
663,FA1,8,1826465,1828195,1730
664,FC1,0,1827410,1828770,1360
665,FA1,2,1829580,1830330,750
666,FA1,5,1833700,1835480,1780
667,CHI,0,1835260,1836380,1120
668,FA1,5,1836490,1837730,1240
669,CHI,1,1836970,1837740,770
670,FA1,1,1837865,1838705,840
671,FC1,4,1838815,1840325,1510
672,FC1,2,1842400,1843720,1320
673,FA1,1,1842890,1843670,780
674,FA1,3,1843810,1845040,1230
675,CHI,0,1846305,1846665,360
676,FA1,9,1846980,1850230,3250
677,FC1,4,1851505,1853505,2000
678,FA1,14,1853825,1856875,3050
679,FC1,3,1857670,1859090,1420
680,FA1,6,1859880,1862450,2570
681,CHI,1,1861455,1862485,1030
682,FA1,8,1863060,1864980,1920
683,FC1,5,1864990,1866590,1600
684,FA1,11,1867530,1870710,3180
685,CHI,0,1873060,1873830,770
686,FA1,2,1873445,1875045,1600
687,FA1,12,1876765,1879215,2450
688,CHI,0,1879790,1880130,340
689,FA1,1,1880610,1880770,160
690,FA1,3,1882500,1884250,1750
691,CHI,0,1883460,1883850,390
692,FA1,3,1886185,1887305,1120
693,FC1,2,1887810,1888630,820
694,FA1,3,1891525,1892575,1050
695,CHI,0,1892350,1893010,660
696,FA1,1,1893330,1893620,290
697,FA1,2,1894925,1895805,880
698,FA1,4,1896225,1897145,920
699,CHI,0,1898370,1898670,300
700,FA1,2,1900630,1901260,630
701,FA1,2,1902805,1903615,810
702,CHI,0,1903980,1905220,1240
703,CHI,0,1908120,1908490,370
704,FA1,1,1908965,1909505,540
705,FA1,6,1910235,1911355,1120
706,FA1,1,1911745,1912445,700
707,FC1,1,1912675,1913185,510
708,FA1,1,1913110,1913820,710
709,CHI,0,1914955,1915235,280
710,FA1,2,1915625,1916285,660
711,FC1,4,1918025,1919755,1730
712,CHI,0,1919155,1919735,580
713,FA1,1,1920927,1921217,290
714,FC1,7,1921132,1924172,3040
715,FA1,6,1924142,1925942,1800
716,FA1,7,1926576,1928611,2035
717,FA1,5,1929017,1929897,880
718,FA1,4,1931807,1932467,660
719,FA1,4,1933797,1935017,1220
720,CHI,0,1936752,1937382,630
721,FC1,5,1938026,1940596,2570
722,CHI,0,1940972,1942042,1070
723,FA1,14,1942972,1947592,4620
724,FC1,2,1947862,1948552,690
725,FA1,10,1948967,1951717,2750
726,FA1,16,1952112,1955032,2920
727,FC1,1,1955102,1956002,900
728,FA1,8,1956102,1957922,1820
729,FC1,4,1958032,1960412,2380
730,FA1,10,1961290,1964639,3349
731,FC1,1,1966782,1967062,280
732,FC1,14,1971822,1975672,3850
733,FA1,16,1976117,1979537,3420
734,FC1,6,1980857,1982547,1690
735,FA1,17,1982802,1987462,4660
736,FA1,20,1988262,1992502,4240
737,FA1,21,1993982,1998092,4110
738,FA1,16,1998697,2002407,3710
739,FC1,1,2003692,2004382,690
740,FA1,1,2004087,2004557,470
741,FC1,6,2005687,2008217,2530
742,FA1,1,2008597,2009267,670
743,FA1,4,2009662,2010742,1080
744,FC1,1,2011197,2015535,4338
745,FA1,6,2016657,2020237,3580
746,FA1,7,2020507,2024097,3590
747,FC1,4,2025247,2026827,1580
748,FA1,6,2029471,2031785,2314
749,FA1,8,2032622,2034132,1510
750,FC1,2,2041137,2042807,1670
751,FC1,5,2043842,2046462,2620
752,FC1,2,2048130,2050060,1930
753,FA1,2,2050655,2051755,1100
754,FC1,6,2052435,2054835,2400
755,FC1,4,2055805,2058295,2490
756,FC1,4,2058840,2061420,2580
757,FC1,0,2061780,2063260,1480
758,FC1,4,2066630,2069020,2390
759,FA1,3,2069145,2070195,1050
760,FC1,6,2070525,2077405,6880
761,FC1,11,2077465,2083305,5840
762,FA1,6,2083565,2085615,2050
763,FC1,5,2086085,2088395,2310
764,FA1,14,2089800,2093870,4070
765,FC1,5,2094225,2101125,6900
766,FA1,7,2101875,2104335,2460
767,FC1,0,2104095,2105745,1650
768,FC1,0,2106520,2112080,5560
769,FA1,26,2112180,2120090,7910
770,FC1,1,2121175,2122545,1370
771,FA1,2,2121910,2122540,630
772,FA1,2,2129355,2129935,580
773,FA1,10,2130405,2132605,2200
774,CHI,0,2131290,2131810,520
775,FA1,4,2133855,2134625,770
776,CHI,0,2135430,2135700,270
777,FA1,2,2136105,2136395,290
778,CHI,0,2137860,2138370,510
779,FC1,4,2162085,2164245,2160
780,FA1,1,2172175,2172495,320
781,FA1,3,2175525,2176235,710
782,FC1,1,2177035,2177295,260
783,FA1,1,2177635,2177985,350
784,CHI,1,2178350,2178700,350
785,FA1,1,2179095,2179345,250
786,FA1,3,2189490,2190400,910
787,CHI,0,2190535,2191565,1030
788,FA1,5,2198450,2199740,1290
789,CHI,0,2201215,2201695,480
790,CHI,0,2204365,2204655,290
791,CHI,0,2206560,2207110,550
792,FA1,1,2212165,2212355,190
793,FC1,4,2212970,2214630,1660
794,CHI,0,2215560,2216000,440
795,FC1,3,2216130,2217310,1180
796,FA1,6,2217470,2218610,1140
797,FA1,4,2228080,2228860,780
